topology,policy,task_success,topology_accuracy,switch_success,wrong_topology_rate,overregularization_rate,graph_edit_gap,contact_mode_violation,force_smoothness,action_smoothness,label_noise_sensitivity,extractor_false_positive,extractor_false_negative,topology_utility,policy_cost,recovery_margin,weight
g00,action_smoothness,0.5054267578586169,0.29697149365888803,0.6498120078440234,0.7030285063411125,0.005791499999999862,0.6141221601490717,0.502513002663265,0.4624999999999981,0.7920199999999944,0.06769423547682678,0.1263400625000008,0.10939447500000005,0.3159749262704838,0.1865102725875642,0.05103312758257398,2013265920
g00,adaptive_switch_gate,0.6583186942855701,0.6253897314044667,0.7626325086775221,0.37461026859553115,0.0,0.359519842150658,0.3282705528101244,0.5600999999999974,0.5736199999999603,0.08776879589906107,0.051077499999999824,0.10939447500000005,0.5382588656140085,0.22151027258758146,0.24288309428556876,2013265920
g00,behavior_cloning,0.41646781763695834,0.2923308168434833,0.6482341777267846,0.7076691831565168,0.005791499999999862,0.6184560372202272,0.5069809669257387,0.35370000000002305,0.44242000000004117,0.06712067660762124,0.12952070000000054,0.10939447500000005,0.2502962666716198,0.18551027258756886,0.028160847759696142,2013265920
g00,fixed_topology_regularizer,0.5302764309840733,0.4719252432598206,0.669400705939438,0.5280747567401792,0.20526938384451743,0.45903779713715465,0.4422685269228879,0.4949000000000077,0.5400200000000189,0.08604811929144471,0.07047954999999945,0.10939447500000005,0.3701526943005049,0.21851027258756014,0.12088883098407592,2013265920
g00,force_penalty,0.5314216626096266,0.30179562635330304,0.6514763442101229,0.6982043736466982,0.005670843750000011,0.6096745404329311,0.4425309088066093,0.6788999999999847,0.6148199999999964,0.06826779434603335,0.12014678750000078,0.10939447500000005,0.3425250309806512,0.18751027258755962,0.10857006260962947,2013265920
g00,oracle_topology_router,0.8921502613284854,0.9539507901580515,0.867043268653733,0.0460492098419629,0.0365000000000004,0.14415872615861114,0.16158058813362278,0.7728999999999576,0.7648200000000038,0.09235726685271572,0.029735125000000025,0.10939447500000005,0.8151836889162154,0.22951027258757434,0.4422986613284797,2013265920
g00,tactile_graph_encoder,0.5739586340934705,0.4717886261746801,0.7101085383410779,0.5282113738253198,0.0014979727915689401,0.4766023890771924,0.3955715321091162,0.5448999999999973,0.554820000000023,0.07916541286095995,0.0635053374999999,0.10939447500000005,0.4275811826901132,0.20651027258755633,0.16190703409346965,2013265920
g00,task_conditioned_topology,0.6573880745734516,0.6442251825556974,0.7690365620689396,0.35577481744430384,0.0,0.344928547545691,0.3253974233266073,0.5404999999999833,0.5844199999999754,0.08891591363747559,0.05507550000000008,0.10939447500000005,0.5457911447351992,0.22351027258757314,0.24000847457344962,2013265920
g01,action_smoothness,0.49333795156918053,0.2755248242067608,0.6425201402302977,0.7244751757932435,0.005791499999999862,0.6342082032093914,0.5167538838331648,0.44990000000003466,0.7869799999999803,0.07129423547682663,0.13128060000000027,0.11442640000000025,0.29813007574880224,0.1865102725875642,0.04410786278601541,2013265920
g01,adaptive_switch_gate,0.6475566012072356,0.6082304429244474,0.7567983505943113,0.3917695570755548,0.0,0.37694770900826985,0.3387305739717323,0.5475000000000646,0.5685799999999509,0.09136879589906352,0.05415699999999992,0.11442640000000025,0.5232629006140861,0.22151027258758146,0.2368362012072341,2013265920
g01,behavior_cloning,0.4041535801876762,0.2710704979968108,0.6410056693189126,0.72892950200319,0.005791499999999862,0.6384265429051648,0.5212850208413335,0.3411000000000343,0.43738000000003724,0.07072067660762163,0.13452031250000068,0.11442640000000025,0.23255166827369428,0.18551027258756886,0.02218968638621335,2013265920
g01,fixed_topology_regularizer,0.5201038616816985,0.4561789321067579,0.664046960147393,0.5438210678932407,0.20526938384451743,0.475589618052051,0.45284229760717204,0.4823000000000584,0.5349800000000722,0.0896481192914401,0.07429892499999947,0.11442640000000025,0.35598119094258285,0.21851027258756014,0.11543146168169821,2013265920
g01,force_penalty,0.5199076739946901,0.2800033890926387,0.6440669835414964,0.7199966109073644,0.005670843750000011,0.6299748355345414,0.45366380845608517,0.6662999999999694,0.6097800000000008,0.07186779434603534,0.12491767499999899,0.11442640000000025,0.32495670816771227,0.18751027258755962,0.10177127399469237,2013265920
g01,oracle_topology_router,0.8887141941888749,0.9535742058273551,0.8669152299812921,0.04642579417265661,0.0365000000000004,0.1511813164436417,0.16301171355251756,0.7602999999999435,0.759779999999989,0.09595726685271844,0.03203458750000005,0.11442640000000025,0.8114041163596927,0.22951027258757434,0.4435777941888731,2013265920
g01,tactile_graph_encoder,0.564333508525387,0.4562519941567152,0.7048211650991508,0.5437480058432853,0.00152256457065568,0.49302420892832904,0.40549590407689606,0.5322999999999857,0.5497800000000276,0.08276541286096148,0.06702407500000047,0.11442640000000025,0.4137562111908185,0.20651027258755633,0.15699710852539045,2013265920
g01,task_conditioned_topology,0.6472935074711093,0.6274195054803476,0.7633226318633187,0.3725804945196499,0.0,0.36213717533240636,0.3359918076982542,0.5279000000000214,0.5793799999999688,0.0925159136374759,0.05826379999999944,0.11442640000000025,0.5311666304242643,0.22351027258757314,0.23462910747110602,2013265920
g02,action_smoothness,0.48197871933944564,0.2563815743668418,0.6360114352847321,0.7436184256331495,0.005791499999999862,0.6527660861101388,0.5300273287659254,0.43940000000002616,0.7819400000000141,0.07489423547682648,0.1356054499999995,0.11883307499999966,0.2819684881751835,0.1865102725875642,0.03786183018454565,2013265920
g02,adaptive_switch_gate,0.6385564177263952,0.5931333215068714,0.7516653293123398,0.4068666784931283,0.0,0.39299699228716883,0.34832448496711355,0.5369999999999706,0.5635400000000014,0.09496879589906147,0.05688380000000039,0.11883307499999966,0.5101609040838913,0.22151027258758146,0.23255121772639412,2013265920
g02,behavior_cloning,0.39273986911476993,0.2518689765653379,0.6344771520322221,0.7481310234346511,0.005791499999999862,0.6570205541926791,0.5347243798425569,0.33060000000002,0.43233999999998346,0.07432067660761893,0.1388746250000003,0.11883307499999966,0.21646158854811315,0.18551027258756886,0.017554392027106902,2013265920
g02,fixed_topology_regularizer,0.5111383498329362,0.44157373199615524,0.6590811921097885,0.558426268003844,0.20526938384451743,0.4913339101206289,0.4629368016536283,0.4718000000000219,0.5299399999999533,0.09324811929143949,0.07770550000000014,0.11883307499999966,0.34305177003603876,0.21851027258756014,0.1111837455848814,2013265920
g02,force_penalty,0.508925876043459,0.26091889143511005,0.6375782543379426,0.7390811085648795,0.005670843750000011,0.6484962920822087,0.46365945747224424,0.6558000000000389,0.6047399999999835,0.07546779434603239,0.12913639374999913,0.11883307499999966,0.3092149293526841,0.18751027258755962,0.0955046760434576,2013265920
g02,oracle_topology_router,0.8860473530605911,0.953161122689453,0.8667747817144048,0.046838877310559995,0.0365000000000004,0.1581264959891404,0.16445816847043682,0.7497999999999932,0.754739999999951,0.09955726685271413,0.03419249375000002,0.11883307499999966,0.8081083837473882,0.22951027258757434,0.4456261530605927,2013265920
g02,tactile_graph_encoder,0.5551772600948858,0.4419223165676491,0.69994401894804,0.5580776834323496,0.0015478434248047599,0.5085976770335536,0.41491347885805496,0.521799999999984,0.5447400000000164,0.08636541286096114,0.0701901500000003,0.11883307499999966,0.4009606856868576,0.20651027258755633,0.15255606009488873,2013265920
g02,task_conditioned_topology,0.6380768123782566,0.6123417693914547,0.7581962015930999,0.38765823060854393,0.0,0.37817443970751785,0.34586045685558886,0.5174000000000233,0.574339999999998,0.09611591363747703,0.061067899999999904,0.11883307499999966,0.5179745552733251,0.22351027258757314,0.23012761237825474,2013265920
g03,action_smoothness,0.4686488219837615,0.22459922482733258,0.6234583789956945,0.7754007751726725,0.014526787228022206,0.6856871148246351,0.5554148272735643,0.41840000000001143,0.7718599999999942,0.08029423547682714,0.1432178999999996,0.12663289999999947,0.2546927010806016,0.1865102725875642,0.034432843718257874,2013265920
g03,adaptive_switch_gate,0.6373115894216143,0.5831392210111053,0.7482673351437771,0.41686077898889484,0.0,0.41240930659454395,0.3590282471753354,0.5160000000000294,0.5534600000000386,0.1003687958990612,0.06175723750000028,0.12663289999999947,0.5000093922495795,0.22151027258758146,0.24073678942161422,2013265920
g03,behavior_cloning,0.3802076083722845,0.22038637652711693,0.6220260105736174,0.7796136234728894,0.014526787228022206,0.6897557382163764,0.56026886355965,0.30959999999999976,0.4222599999999615,0.0797206766076198,0.14652993750000082,0.12663289999999947,0.18961784717822233,0.18551027258756886,0.015455386518703457,2013265920
g03,fixed_topology_regularizer,0.49759229173682484,0.41324291173415423,0.6440903785972372,0.5867570882658436,0.2320610569618872,0.5221149906830668,0.4875788873247954,0.4508000000000185,0.519859999999992,0.09864811929144095,0.08385840000000003,0.12663289999999947,0.314503727780197,0.21851027258756014,0.107072577932288,2013265920
g03,force_penalty,0.49697038644474456,0.22957107985651207,0.6251789909556147,0.7704289201434961,0.01437588097802223,0.6811479072609423,0.4823527650363061,0.634799999999974,0.5946599999999922,0.08086779434603408,0.1366485499999987,0.12663289999999947,0.28317241637514656,0.18751027258755962,0.092979586444745,2013265920
g03,oracle_topology_router,0.8897912991495792,0.9525039706854888,0.866551350033065,0.04749602931451944,0.0365000000000004,0.17174990223159575,0.1672800923120981,0.7288000000000129,0.7446599999999968,0.10495726685271592,0.03827643749999977,0.12663289999999947,0.8047698262511208,0.22951027258757434,0.4588004991495783,2013265920
g03,tactile_graph_encoder,0.5488316715096543,0.42155046530002827,0.6925924312882066,0.5784495346999752,0.0036736345690148056,0.534444196819478,0.4306414187964122,0.500800000000019,0.5346599999999668,0.09176541286096192,0.07595407500000054,0.12663289999999947,0.3833746954330672,0.20651027258755633,0.15564087150965264,2013265920
g03,task_conditioned_topology,0.6333782849986475,0.5932147460154589,0.7516930136452569,0.4067852539845418,0.0,0.40324916620063606,0.360965806673508,0.49639999999999546,0.5642600000000491,0.101515913637478,0.06621853749999987,0.12663289999999947,0.5019470864142208,0.22351027258757314,0.23485948499865023,2013265920
g04,action_smoothness,0.47421958117523194,0.18895832342261001,0.6052257714584643,0.8110416765773892,0.04510029252609817,0.7229573056955654,0.5876621168171989,0.42889999999995587,0.7605200000000156,0.08509423547682675,0.15349873750000098,0.1373130999999996,0.23031991365029808,0.1865102725875642,0.04919461890431715,2013265920
g04,adaptive_switch_gate,0.679626347071689,0.6106951955525968,0.7576363664878809,0.3893048044474026,0.0,0.41049743437881686,0.3547742578679095,0.5264999999999707,0.542119999999969,0.10516879589906446,0.06878554999999936,0.1373130999999996,0.5261990221844434,0.22151027258758146,0.29366074707169243,2013265920
g04,behavior_cloning,0.38559397364610604,0.18487291436236028,0.6038367323779774,0.8151270856376431,0.04510029252609817,0.7269469167585264,0.5927808686225055,0.3200999999999707,0.4109199999999867,0.08452067660762082,0.1568433500000005,0.1373130999999996,0.16490330888049862,0.18551027258756886,0.026080521816984625,2013265920
g04,fixed_topology_regularizer,0.49412957465542817,0.37339258404201164,0.6117870959997443,0.6266074159579869,0.32583191287270946,0.561995025852196,0.5301054990194437,0.4612999999999714,0.5085200000000337,0.10344811929144254,0.0922693000000005,0.1373130999999996,0.27417991410897885,0.21851027258756014,0.11422089287326516,2013265920
g04,force_penalty,0.5036881502061054,0.19424800550612178,0.6070756196168552,0.8057519944938776,0.044843511276097585,0.7182210453581824,0.5071279897171344,0.6453000000000821,0.5833199999999817,0.0856677943460341,0.14684010000000075,0.1373130999999996,0.26013545428474805,0.18751027258755962,0.11030655020610755,2013265920
g04,oracle_topology_router,0.9262291835689033,0.9518941666062211,0.8663440166461213,0.048105833393782625,0.0365000000000004,0.18730081276073937,0.1704003700253887,0.7393000000000708,0.7333200000000214,0.10975726685271839,0.044006087500000186,0.1373130999999996,0.8150577714217312,0.22951027258757434,0.5058475835689039,2013265920
g04,tactile_graph_encoder,0.5695054179334524,0.4073858241257094,0.6849447952650713,0.5926141758742886,0.017831924688361585,0.5583991063475549,0.44677682031110777,0.5113000000000562,0.5233200000000074,0.09656541286095982,0.08410987499999996,0.1373130999999996,0.3784734321406372,0.20651027258755633,0.18692381793345467,2013265920
g04,task_conditioned_topology,0.661988369922313,0.5890384306640476,0.7502573869844401,0.41096156933595285,7.839720668722459e-05,0.42101131371850986,0.3706899706183026,0.5068999999999416,0.552919999999983,0.10631591363747814,0.07366190000000053,0.1373130999999996,0.5072857327999476,0.22351027258757314,0.27407876992231206,2013265920
g05,action_smoothness,0.4791546571249223,0.21813015551709541,0.6168912518161994,0.7818698444829121,0.03636500529807691,0.6946239337969845,0.5659876756364727,0.41000000000000064,0.7680800000000351,0.08149423547682422,0.14586570000000026,0.12937037499999943,0.24897273812632129,0.1865102725875642,0.04734728713694272,2013265920
g05,adaptive_switch_gate,0.6716884410320919,0.6173839159545113,0.7599105314245338,0.3826160840454884,0.0,0.3961035917296321,0.3470853152991054,0.5075999999999673,0.5496799999999364,0.10156879589906122,0.0635053374999999,0.12937037499999943,0.527155611873073,0.22151027258758146,0.27865004103208946,2013265920
g05,behavior_cloning,0.3904701278049275,0.21371298638805325,0.6153894143123263,0.7862870136119554,0.03636500529807691,0.6988192361025956,0.5710336066706728,0.30119999999998454,0.41848000000001107,0.08092067660761972,0.14919180000000112,0.12937037499999943,0.18344800427797955,0.18551027258756886,0.024940205954381883,2013265920
g05,fixed_topology_regularizer,0.49943512531230805,0.39853966058202145,0.6256954366468231,0.6014603394179789,0.29904023975532945,0.5361570023973875,0.5087807457115082,0.44239999999997137,0.5160800000000484,0.0998481192914407,0.08601699999999989,0.12937037499999943,0.2938632294447688,0.21851027258756014,0.11246322623420424,2013265920
g05,force_penalty,0.5080692331040602,0.2234756467350736,0.6187540250803124,0.7765243532649329,0.03613847404807634,0.6898530717962372,0.4903152336999248,0.6264000000000567,0.59088,0.0820677943460329,0.13926814999999856,0.12937037499999943,0.27816378753608156,0.18751027258755962,0.10761483310405719,2013265920
g05,oracle_topology_router,0.9135867938056766,0.9523783389568535,0.8665086352453343,0.04762166104315838,0.0365000000000004,0.1767537899033522,0.1682875776381251,0.720400000000051,0.7408799999999763,0.10615726685271756,0.03974137499999998,0.12937037499999943,0.8109784521889131,0.22951027258757434,0.48613239380568024,2013265920
g05,tactile_graph_encoder,0.5675423596078446,0.4253265999571071,0.6921550222116772,0.5746734000428939,0.012280108868701477,0.5370289893320893,0.43315052761438316,0.492400000000031,0.5308800000000041,0.09296541286096131,0.0780168125000005,0.12937037499999943,0.3882014655227564,0.20651027258755633,0.17788795960784368,2013265920
g05,task_conditioned_topology,0.6580844765167427,0.6046899040453501,0.7555913914067832,0.39531009595464955,1.5879843190525358e-05,0.40106056422210273,0.35880109867272664,0.48799999999997373,0.5604799999999407,0.10271591363747411,0.06808803749999949,0.12937037499999943,0.5142217590268319,0.22351027258757314,0.26310207651674045,2013265920
g06,action_smoothness,0.43746633418263564,0.18576863965056606,0.05857199486227237,0.8142313603494339,0.09314437228021856,0.7300095056342306,0.6015746783572017,0.41419999999999757,0.7567400000000207,0.08569423547682699,0.15697748750000043,0.14097932500000063,0.12030819334008225,0.1865102725875642,0.02327740630275302,2013265920
g06,adaptive_switch_gate,0.7463060710430409,0.6946407581669383,0.6510690890047386,0.3053592418330647,8.248972298980159e-07,0.36352578155792936,0.32195711005138894,0.511799999999995,0.5383399999999757,0.10576879589906239,0.07129062499999952,0.14097932500000063,0.567151253157507,0.22151027258758146,0.363876871043043,2013265920
g06,behavior_cloning,0.34862414073827946,0.18165425075513475,0.05642086215857531,0.8183457492448695,0.09314437228021856,0.7340170841950016,0.6068116816932839,0.3053999999999971,0.4071400000000003,0.08512067660761907,0.16034390000000126,0.14097932500000063,0.05876364236512839,0.18551027258756886,0.009315901372953189,2013265920
g06,fixed_topology_regularizer,0.43406183328040815,0.35032984687245267,0.03407211880116544,0.6496701531275465,0.4731861150182768,0.5813685188973203,0.5692858450168582,0.44659999999999145,0.5047400000000282,0.1040481192914427,0.09513694999999946,0.14097932500000063,0.12879711342727823,0.21851027258756014,0.060307281793017774,2013265920
g06,force_penalty,0.46904386120695585,0.1926746203226627,0.06534059668094029,0.8073253796773396,0.09272121603021716,0.7242711401719262,0.5178919183499238,0.6306000000000042,0.5795400000000471,0.0862677943460357,0.15030179999999874,0.14097932500000063,0.15196069424602518,0.18751027258755962,0.07923933673829728,2013265920
g06,oracle_topology_router,0.9727836849283159,0.9518227556289881,0.8459085865408955,0.04817724437101611,0.0365000000000004,0.19241968356662287,0.17138508263582644,0.7246000000000055,0.7295399999999642,0.11035726685271544,0.04596940000000024,0.14097932500000063,0.8248758626925153,0.22951027258757434,0.5559384849283194,2013265920
g06,tactile_graph_encoder,0.5630698586712867,0.42599835443347916,0.26515107829476686,0.5740016455665192,0.05480676679806354,0.5519339335567389,0.44816094916158994,0.4966000000000127,0.5195400000000603,0.09716541286096284,0.08691945000000052,0.14097932500000063,0.309870731835207,0.20651027258755633,0.18402465867128628,2013265920
g06,task_conditioned_topology,0.6942895657643277,0.6245988061373388,0.5226260072237522,0.3754011938626645,0.002082595715025581,0.40403847692507167,0.35876736865102304,0.4922000000000178,0.5491399999999774,0.10691591363747621,0.07629479999999964,0.14097932500000063,0.49507430790566365,0.22351027258757314,0.30991636576432663,2013265920
